N.º,Producto,Precio (USD),Stock
1,"Laptop HP 15""",599.99,12
2,Smartphone Samsung A15,249.5,25
3,Audífonos Bluetooth JBL,39.99,40
4,Teclado mecánico Redragon,54.9,15
5,Mouse inalámbrico Logitech,29.99,30
6,"Monitor LG 24"" Full HD",139,10
7,"Tablet Lenovo 10""",179.99,18
8,Impresora HP DeskJet,89.99,8
9,Disco duro externo 1TB,62.5,22
10,Memoria USB 64GB,11.99,50
11,Bocina portátil Sony,74.9,13
12,Reloj inteligente Xiaomi,55,27
13,Cámara web HD Logitech,49.99,14
14,"Cargador portátil 20000mAh",34.5,19
15,"Smart TV 43"" Samsung",349,6
16,Cafetera Oster,44.99,20
17,Licuadora Black+Decker,59.9,16
18,Ventilador de pedestal,47.99,12
19,Plancha de vapor Philips,39.5,11
20,Freidora de aire 4L,89,9
